Species,CommonName,PrimaryColor,SecondaryColor,WingShape,Pattern,Eyespot,Size,Location,ImagePath,QuickFact,CaterpillarHostPlants,SexuallyDimorphic
Caligo memnon,Owl Butterfly,Brown,White,4.0,Mottled,Y,L,South America,/static/photos/caligo-memnon.jpg,"Owl Butterflies are named for the large eyespot on the underside of the hind wings. Eyespots are a common defense coloration in the insect world, flashed suddenly to startle a predator away. ","Heliconia sp, Calathea sp, Musa sp",No
Catonephele mexicana,Mexican Shoemaker,Black,Orange,4.0,Spots,N,S,South America,/static/icons/default.png,"This species exhibits sexual dimorphism, meaning males and females look different. The males have a thick orange stripe on a velvet black background, while the females have three cream colored horizontal bands down their backs and cream colored splotches on their wings.","Alchornea latifolia, Veconcibea pleistemona, Dalechampia triphylla",Yes
Catonephele numilia,Grecian Shoemaker,Black,Orange,4.0,Spots,N,S,South America,/static/photos/catonephele-numilia.jpg,"This species exhibits sexual dimorphism, meaning males and females look different. The males (pictured) have 6 orange spots on a velvet black background, while the females have a cream colored vertical band on the forewing.","Alchornea costaricensis, Alchornea latifolia",Yes
Catopsilia scylla,Orange Emigrant,Yellow,White,4.0,None,N,M,Asia,/static/icons/default.png,This butterfly earns its name by its migratory behaviors. The adults fly in groups from one breeding site to another. ,Senna surattensis,No
Cethosia cyane,Leopard Lacewing,Orange,White,4.0,Striped,N,S,Asia,/static/photos/cethiosa-cyane.jpg,"These butterflies are part of the family Nymphalidae, or Brush-footed Butterflies, meaning their front pair of legs are small or reduced, giving the appearance that they only have 4 legs. They often rest with their wings open.","Adenia macrophylla, Passiflora foetida",Yes
Charaxes brutus,White Barred Emperor,Red,White,2.0,Striped,N,M,Africa,/static/photos/charaxes-brutus.jpg,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ","Melia azedarach, Trichilia emetica, Trichilia dregeana",No
Charaxes candiope,Green-veined emperor,Orange,Green,2.0,Veination,N,M,Africa,/static/icons/default.png,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ","Croton sylvaticus, Croton gratissimus, Croton meyalocapus",No
Charaxes castor,Giant Emperor,Blue,Yellow,2.0,Striped,N,L,Africa,/static/photos/charaxes-castor.jpg,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ","Maytenus senegalensis, Afzelia quanzensis, Trema orientalis",No
Charaxes cithaeron,Blue spotted emperor,Blue,Black,2.0,Veination,N,S,Africa,/static/photos/charaxes-cithaeron.jpg,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ","Maytenus senegalensis, Afzelia quanzensis, Celtis africana",Yes
Charaxes lasti,Silver Striped charaxes,Orange,Black,2.0,Veination,N,S,Africa,/static/icons/default.png,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ","Afzelia quanzensis, Paramacrolobium coeruleum, Brachystegia spiciforms",Yes
Charaxes protoclea,Flame bordered emperor,Orange,Black,2.0,Striped,N,M,Africa,/static/icons/default.png,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ",Afzelia quanzensis,Yes
Chilasa clytia,Common Mime,Black,White,4.0,Veination,N,L,Asia,/static/photos/chilasa-clytia.jpg,"These butterflies use mimicry to protect themselves from predators. By mimicking the black and white colors of inedible butterflies, these butterflies encourage predators to stay away from them as well. ",Cinnamomum sp,Yes
Colobura dirce,Zebra Mosaic,Black,White,4.0,Striped,N,S,South America,/static/photos/colobura-dirce.jpg,"These butterflies are frequently found resting on trees in a head down position. When approached by a predator, they often run around to the opposite side of the tree, and if followed again, run back to the original spot, making their pursuer run in circles!",Cecropia sp,No
Danaus plexxipus,Monarch Butterfly,Black,Orange,4.0,Veination,N,L,North America,/static/photos/danaus-plexippus.jpg,This iconic butterfly is famous for it's annual multi-generational  migrations. They are bright orange and black to advertise that they are poisonous to predators - coloration mimicked by several other butterfly species to gain protection.,Asclepias species,No
Dione juno,Juno silverspot,Orange,Black,1.0,None,N,S,North America,/static/photos/dione-juno.jpg,"These butterflies are part of the family Nymphalidae, or Brush-footed Butterflies, meaning their front pair of legs are small or reduced, which gives the appearance that they only have 4 legs. ","Passiflora vitiflora, Passiflora alata",No
Doleschallia bisaltidae,Autumn Leaf,Orange,Black,4.0,Striped,Y,S,Asia,/static/photos/doleschallia-bisaltide.jpg,These butterflies have a characteristic wing shape that has a remarkable resemblance to a fallen leaf. The brown color in addition to markings resembling mold aide in the disguise.,"Pseuderanthemum malbaricum, Artocarpus heterophyllus",No
Dryadula phaetusa,Halloween Butterfly,Orange,Black,1.0,Striped,N,S,South America,/static/photos/dryadula-phaetusa.jpg,This butterfly is bright orange and black to advertise that it is poisonous to predators. It acquires and stores these toxins as a caterpillar from the host plants it eats - passion vines. ,Passiflora talamancensis,No
Dryas iulia,Julia Butterfly,Orange,Orange,1.0,None,N,S,North America,/static/photos/dryas-iulia.jpg,This butterfly is bright orange to advertise that it is poisonous to predators. It acquires and stores these toxins as a caterpillar from the host plants it eats - passion vines. ,"Passiflora multiflora, Passiflora caerulea",No
Eryphanis polyxena,Bamboo Butterfly,Brown,White,2.0,Striped,Y,M,South America,/static/photos/eryphanis-polyxena.jpg,"These butterflies are part of the family Nymphalidae, or Brush-footed Butterflies, meaning their front pair of legs are small or reduced, which gives the appearance that they only have 4 legs. ",Bambusa sp,Yes
Eueides isabella,Isabella butterfly,Black,Orange,1.0,Striped,N,S,South America,/static/icons/default.png,This butterfly is bright orange and black to advertise that it is poisonous to predators. It acquires and stores these toxins as a caterpillar from the host plants it eats - passion vines. ,"Passiflora platyloba, Passiflora ambigua",No
Euxanthe wakefieldi,Forest Queen,Black,Blue,4.0,Veination,N,S,Africa,/static/photos/euxanthe-wakefieldi.jpg,"These butterflies are part of the family Nymphalidae, or Brush-footed Butterflies, meaning their front pair of legs are small or reduced, giving the appearance that they only have 4 legs. ","Deinbollia oblongifolia, Sapindus species",Yes
Graphium agamemnon,Tailed Jay,Green,Black,3.0,Spots,N,M,Asia,/static/photos/graphium-agamemnon.jpg,"These butterflies naturally blend in with the light and shadows coming through the rainforest canopy, making them nearly invisible to predators. ","Michelia alba, Polyathia longifolia, Annona montana",No
Graphium angolanus,Angola White Lady,White,Orange,3.0,None,N,S,Africa,/static/photos/graphium-angolanus.jpg,"This butterfly is commonly found in savannahs, acacia scrubland, and open meadows within rainforests. Males of this species frequently aggregate around mud puddles to drink the mineralized water, a behavior called puddling.","Annona senegalensis, Sphedamnocarpus pruriens",No
Graphium antheus,Larger striped swallowtail,Black,Blue,3.0,Spots,N,S,Africa,/static/icons/default.png,Males have a fold on the inner edge of eaach hindwing which encloses plumes of androconial scales that disseminate pheromones to entice females into copulation. ,"Annona reticulate, Artabotrys monteiroae, Uvaria caffra",No
Graphium policenes,Common Swordtail,Black,Blue,3.0,Spots,N,S,Africa,/static/icons/default.png,Males have a fold on the inner edge of eaach hindwing which encloses plumes of androconial scales that disseminate pheromones to entice females into copulation. ,"Artabotrys sp, Uvaria sp, Annona sp",No
Greta oto,Glasswing,Black,Clear,4.0,Veination,N,S,South America,/static/photos/greta-oto.jpg,These butterflies are transparent due to the lack of colorful scales that most other butterflies possess. Male glasswings exhibit lekking behavior - large congregations of males all releasing pheromones to increase their chances of attracting females to the area for mating.,"Cestrum lanatum, Cestrum standleyi ",No
Hamadryas amphinome,Red Cracker,Blue,Black,4.0,Spots,Y,S,South America,/static/photos/hamadryas-amphinome.jpg,"Cracker butterflies are named for the cracking noise the males make upon take-off, when a group of rods and bristles at the tip of their abdomen rub against each other. These butterflies spend long periods of time basking high on tree trunks with their wings open, head down, watching for possible mates.",Dalechampia scandens,No
Hamadryas februa,Grey Cracker,Black,Grey,4.0,Spots,Y,S,South America,/static/photos/hamadryas-februa.jpg,"Cracker butterflies are named for the cracking noise the males make upon take-off, when a group of rods and bristles at the tip of their abdomen rub against each other. These butterflies spend long periods of time basking high on tree trunks with their wings open, head down, watching for possible mates.",Dalechampia scandens,No
Hamadryas feronia,Blue Cracker,Black,Grey,4.0,Spots,Y,S,South America,/static/photos/hamadryas-feronia.jpg,"Cracker butterflies are named for the cracking noise the males make upon take-off, when a group of rods and bristles at the tip of their abdomen rub against each other. These butterflies spend long periods of time basking high on tree trunks with their wings open, head down, watching for possible mates.",Dalechampia sp,No
Hamadryas fornax,Orange Cracker,Blue,White,4.0,Spots,Y,S,South America,/static/icons/default.png,,,
Hamadryas laodamia,Starry Night Cracker,Black,Blue,4.0,Spots,N,S,South America,/static/photos/hamadryas-laodamia.jpg,"Cracker butterflies are named for the cracking noise the males make upon take-off, when a group of rods and bristles at the tip of their abdomen rub against each other. These butterflies spend long periods of time basking high on tree trunks with their wings open, head down, watching for possible mates.",Dalechampia triphylla,Yes
Hebomoia glaucippe,Great Orange Tip,White,Orange,4.0,None,N,M,Asia,/static/photos/hebomoia-glaucippe.jpg,"These butterflies spend long periods of time resting on the ground, using their dead leaf camoflage to blend in with the forest floor. The caterpillars of this species mimic snakes to ward off predators. ","Capparis cantoniensis, Capparis sepiaria, Capparis roxburghii",Yes
Heliconius charitonius,Zebra Longwing,Black,White,1.0,Striped,N,S,South America,/static/photos/heliconius-charitonius.jpg,"This butterfly is black and yellow to advertise that it is poisonous - toxins are accumlated as caterpillars feed on passion vines. At night, adults roost on the same tree in groups of 5-60 to amplify this warning signal to predators. ","Passiflora suberosa, Passiflora incarnata, Passiflora caerulea",No
Heliconius cydno,Cydno Longwing,Black,White,1.0,Striped,N,S,South America,/static/photos/heliconius-cydno.jpg,"This butterfly is black and white to advertise that it is poisonous - toxins are accumulated as caterpillars feed on passion vines. The coloration is mimicked by several other heliconius species to amplify the warning signal to predators, this is called Mullerian Mimicry. ","Passiflora auriculata, Passiflora biflora, Passiflora edulis",No
Heliconius doris,Doris Longwing,Black,White,1.0,Spots,N,S,South America,/static/photos/heliconius-doris.jpg,"The ray of color on the hindwings of these butterflies is highly variable - red, blue, green, yellow, pink, or cream. Most heliconius butterflies feed on pollen which greatly expands their lifespan past the typical butterfly span of 2-3 weeks to almost 9 months!",Passiflora ambigua,No
Heliconius erato,Postman Longwing,Black,Red,1.0,Striped,N,S,South America,/static/icons/default.png,"The postman butterflies are named for their habit of visiting the same nectar sources, in the same order, every day - reminiscent of the consistent neighborhood routes of postal workers. ","Passiflora talamancensis, Passiflora coreacea, Passiflora biflora",No
Heliconius hecale,Tiger Longwing,Black,Orange,1.0,Striped,N,S,South America,/static/photos/heliconius-hecale.jpg,This butterfly is bright orange and black to advertise that it is poisonous to predators. It acquires and stores these toxins as a caterpillar from the host plants it eats - passion vines. ,"Passiflora oerstedii, Passiflora vitifolia, Passiflora auriculata",No
Heliconius hewitsoni,Hewitsoni's Longwing,Black,Red,1.0,Striped,N,S,South America,/static/photos/heliconius-hewitsoni.jpg,"Like most heliconius butterflies, Hewitsoni Longwings feed on pollen in addition to nectar, which greatly expands their lifespan past the typical butterfly span of 2-3 weeks to almost 9 months!",Passiflora pittieri,No
Heliconius ismenius,Ismenius Tiger,Black,Orange,1.0,Striped,N,S,South America,/static/photos/heliconius-ismenius.jpg,"This butterfly is bright orange and black to advertise that it is poisonous - toxins are accumulated as caterpillars feed on passion vines. The coloration is mimicked by several other heliconius species to amplify the warning signal to predators, this is called Mullerian Mimicry. ","Passiflora ambigua, Passiflora alata, Passiflora pedata",No
Heliconius sara,Sara longwing,Black,White,1.0,Spots,N,S,South America,/static/photos/heliconius-sara.jpg,"Like most heliconius butterflies, Sara Longwings feed on pollen in addition to nectar, which greatly expands their lifespan past the typical butterfly span of 2-3 weeks to almost 9 months!","Passiflora auriculata, Passiflora biflora, Passiflora edulis",No
Hypna clytemnestra,Jazzy Leafwing,Brown,White,3.0,Mottled,N,M,North America,/static/photos/hypna-clytemnestra.jpg,"These butterflies are uncommon, and always encountered singly. It appears to spend most of it's life high in the trees, and can usually only be observed from a distance through binoculars.",Croton sp,No
Idea leuconoe,Paperkite,White,Black,4.0,Veination,N,L,Asia,/static/photos/idea-leuconoe.jpg,"These butterflies have a slow, floppy flight pattern. Their black and white coloration signals that they are poisonous to predators. They acquire and store toxins from the host plants they eat as caterpillars.","Cynanchum formosanum, Tylophora ovata",No
Mechanitis polymnia,Orange Spotted Tiger Clearwing,Orange,Black,1.0,Striped,N,S,South America,/static/icons/default.png,"This species has 22 sub-species, each with variying colors and patterns. ",Solanum sp,No
Memphis eurypyle,Pointed Leafwing,Brown,Orange,3.0,Veination,N,S,South America,/static/photos/memphis-eurypyle.jpg,These butterflies have a characteristic wing shape that have a remarkable resemblance to a fallen leaf. The brown color in addition to markings resembling mold aid in the disguise.,"Croton reflexifolius, Croton jalapensis",No
Memphis nobilis,Noble Leafwing,Brown,Purple,3.0,Striped,N,M,South America,/static/icons/default.png,These butterflies have a characteristic wing shape that have a remarkable resemblance to a fallen leaf. The brown color in addition to markings resembling mold aid in the disguise.,Croton sp,No
Morpho peleides,Morpho butterflies,Blue,Brown,4.0,Veination,Y,L,North America,/static/photos/morpho-peleides.jpg,"These butterflies are most well known for their bright, irridescent blue inner wings. Unlike most butterflies, they do not visit flowers for nectar, preferring to eat fermenting fruit and tree sap. ","Dalbergia sp, Lonchocarpus sp, Platymiscium sp",No
Morpho polyphemus,White morpho,White,Black,4.0,Veination,Y,L,North America,/static/icons/default.png,This butterfly may be white but it still has the iridescent qualities of the Blue Morpho. ,"Paullinia pinnata, Inga sp",No
Myselia ethusa,Mexican Bluewing,Black,Blue,4.0,Striped,N,S,North America,/static/photos/myselia-ethusa.jpg,"These butterflies are part of the family Nymphalidae, or Brush-footed Butterflies, meaning their front pair of legs are small or reduced, giving the appearance that they only have 4 legs. ","Dolechampia triphylla, Adelia triloba",No
Opsiphanes tamarindi,Large Owlet,Brown,Black,4.0,Mottled,Y,L,North America,/static/photos/ospiphanes-tamarindi.jpg,"Owl Butterflies are named for the large eyespot on the underside of the hind wings. Eyespots are a common defense coloration in the insect world, flashed suddenly to startle a predator away. ","Heliconia sp, Musa sp",No
Ornithoptera priamus,New Guinea Birdwing,Green,Yellow,1.0,Veination,N,L,Australia,/static/icons/default.png,"There is a record of this butterfly from over 200 years ago. Since then, the species has been broken up into several different subspecies which inhabit different geographic ranges. ",Aristolochia tagala,Yes
Pachliopta aristolochiae,Coomon Rose,Black,Red,3.0,Veination,N,M,Asia,/static/icons/default.png,"This butterfly is distinguished by the red fur covering its body. The chrysalis mimics the appearance of fungus, making it undesirable to potential predators. ",Aristolochia sp,No
Pachliopta kotzebuea,Pink Rose,Black,Red,3.0,Spots,N,M,Asia,/static/photos/pachliopta-kotzebuea.jpg,"This butterfly is distinguished by the red fur covering its body. The chrysalis mimics the appearance of fungus, making it undesirable to potential predators. ","Aristolochia labiata, Aristolochia grandiflora, Aristolochia acuminata",No
Papilio constantinus,Constatine's Swallowtail,Black,Yellow,3.0,Spots,N,M,Africa,/static/photos/papilio-constantinus.jpg,"These butterflies are part of the Swallowtail family, Papilionidae, meaning they are often large, colorful, and have a tail on each hindwing. The largest butterflies in the world are members of this family. ","Fagara sp, Teclea sp, Vepris sp",No
Papilio dardanus,Mocker Swallowtail,Yellow,Black,3.0,None,N,M,Africa,/static/photos/papilio-dardanus.jpg,The Mocker Swallowtail is one of several swallowtail species in which the females exhibit polymorphism - multiple color variations of the wings. This enables some females to mimic distasteful butterflies for defense from predators and other females to mimic male coloration to avoid harrassment from amorous males. ,"Xymalos monospora, Teclea natalensis, Vepris lanceolata",Yes
Papilio demodocus,Citrus Swallowtail,Yellow,Black,3.0,Spots,Y,M,Africa,/static/photos/papilio-demodocus.jpg,Males of this species exhibit lekking behavior - large congregations of males all releasing pheromones to increase their chances of attracting females to the area for mating.,"Calodendron capense, Zanthoxylum capense",No
Papilio lowii,Great Yellow Mormon,Black,Yellow,3.0,Veination,N,L,Asia,/static/photos/papilio-lowii.jpg,"This species exhibits sexual dimorphism, meaning the males and females have different coloration. Males are velvet black with silver irridescence on the hindwings, while females are yellow with black veins and red near the body.",Citrus sp,Yes
Papilio memnon,Great Mormon,Black,Red,3.0,Veination,N,L,Asia,/static/photos/papilio-memnon.jpg,The Great Mormon is one of several swallowtail species in which the females exhibit polymorphism - multiple color variations of the wings. This enables females to mimic distasteful butterflies for defense from predators.,"Citrus grandis, Citrus aurantifolia, Fortunella japonica",Yes
Papilio nephelus,Yellow Helen,Black,White,3.0,Spots,N,L,Asia,/static/photos/papilio-nephelus.jpg,"These butterflies are part of the Swallowtail family, Papilionidae, meaning they are often large, colorful, and have a tail on each hindwing. The largest butterflies in the world are members of this family. ","Fagara sp, Calodendron sp, Clausena sp",No
Papilio nireus,Blue Banded Swallowtail,Black,Blue,3.0,Striped,N,M,Africa,/static/icons/default.png,"These butterflies are part of the Swallowtail family, Papilionidae, even though they do not have the characteristic tails on their hind wings. Males of this species frequently aggregate around mud puddles to drink the mineralized water, a behavior called puddling.",Euoida sp,No
Papilio ophidicephalus,Emperor Swallowtail,Black,Yellow,3.0,Spots,Y,L,Africa,/static/icons/default.png,"These butterflies are part of the Swallowtail family, Papilionidae, meaning they are often large, colorful, and have a tail on each hindwing. The largest butterflies in the world are members of this family. In fact, this butterfly is the largest in flight in southern Africa.  ","Clausema inqequalis, Fagara capensis, Calodendron capense",No
Papilio palinurus,Emerald Swallowtail,Green,Black,3.0,Striped,N,M,Asia,/static/photos/papilio-palinurus.jpg,"This butterfly is easily recognized by the brilliant emerald colors shown on their inner wings. Their outerwings are black with some yellow and blue spots, replicating the night sky. ",Euoida sp,No
Papilio rumanzovia,Scarlet Mormon,Black,Red,3.0,Veination,N,L,Asia,/static/photos/papilio-rumanzovia.jpg,"These butterflies, named for their scarlet markings, are part of the Swallowtail family, Papilionidae, meaning they are often large, colorful, and have a tail on each hindwing. The largest butterflies in the world are members of this family. ",Citrus sp,Yes
Papilio thoas,Thoas Swallowtail,Yellow,Black,3.0,Striped,N,M,North America,/static/photos/papilio-thoas.jpg,"These butterflies are part of the Swallowtail family, Papilionidae, meaning they are often large, colorful, and have a tail on each hindwing. The largest butterflies in the world are members of this family. ","Ptelea trifoliata, Zanthoxylum americanum, Citrus sp",No
Parides iphidamas,Cattleheart Butterflies,Black,White,3.0,Spots,N,M,South America,/static/photos/parides-iphidamas.jpg,"These butterflies are part of the Swallowtail family, Papilionidae, meaning they are often large, colorful, and have a tail on each hindwing - though this species is an exception in not having tails. The largest butterflies in the world are members of this family. ",Aristolochia sp,Yes
Parthenos sylvia,The Clipper,Brown,Blue,2.0,Veination,N,M,Asia,/static/photos/parthenos-sylvia.jpg,This butterfly is a fast-flying forest dweller. They enjoy getting nectar from Lantana and other flowers.,"Inga vera, Inga ruiziana, Andira inermis",No
Philaethria dido,Bamboo Longwing,Green,Black,1.0,Veination,N,S,South America,/static/icons/default.png,"This butterfly is a close relative of the Longwings (Heliconius butterflies). The differences between these groups are the shapes of the chrysalids, the slight differences in adult appearance, and how the females lay their eggs. With these differences in mind, scientists consider this butterfly to be the most primitive member of the Heliconiinae subfamily. ","Passiflora ambigua, Passiflora edulis, Passiflora vitifolia",No
Prepona omphale,Shaded Blue Leafwing,Tan,Blue,2.0,Mottled,Y,M,South America,/static/photos/prepona-omphale.jpg,"These butterflies are known for their fast, powerful flight. In the wild, they can often be found feeding on dung and carrion to obtain salts. ","Inga vera, Inga ruiziana, Andira inermis",Yes
Salamis anacardii,Clouded Mother of Pearl,White,Black,4.0,None,N,M,Africa,/static/icons/default.png,"While this butterfly looks black and white, upon closer inspection it is iridescent and shines with a variety of colors.","Asystasia schimperi, Asystasia gangetica ",Yes
Siproeta epaphus,Rusty Tipped Page,Red,Brown,4.0,Striped,N,M,North America,/static/photos/siproeta-epaphus.jpg,"These butterflies are part of the family Nymphalidae, or Brush-footed Butterflies, meaning their front pair of legs are small or reduced, which gives the appearance that they only have 4 legs. ","Ruellia sp, Blechum sp, Justicia sp",No
Siproeta stelenes,Malachite,Green,Black,4.0,Veination,N,M,North America,/static/photos/siproeta-stelenes.jpg,"Male Malachites perch on shrubs in forest or orchard openings and sometimes patrol for females with a slow, floating flight. Adults roost together under the leaves of low shrubs.","Ruellia sp, Justicia sp, and Blechum sp",No
Vindula dejone,Malay cruiser,Orange,Brown,4.0,Veination,Y,M,Asia,/static/icons/default.png,"This species is sexually dimorphic, the inside of the males wings are a brilliant orange, females have a grayish color inside their wings with a white stripe. ","Adenia sp, Passiflora sp",Yes
